National Point Estimate,Sample Size
62.7,13548.0
61.9,2948.0
57.1,26172.9
45.9,22959.0
51.0,25095.7
47.8,47791.6
37.9,226442.9
34.7,36230.0
35.5,201290.3
48.1,9227.0
42.3,104293.0
41.6,96162.0
28.6,20846838.0
40.1,77808.0
39.2,18768.0
36.4,75232.0
24.4,11139.0
20.4,2536.0
7.1,34200.0
27.6,2565.0
28.1,14009.7
20.0,16464.0
27.5,16001.5
22.1,35430.3
12.6,16375.1
12.0,803.0
11.8,702.6
14.4,1789.9
12.6,914.4
12.1,939.5
9.7,957.3
11.2,981.1
8.7,905.8
9.5,2302.1
5.7,733.0
7.2,726.9
6.6,613.2
8.2,3229.2
4.9,779.8
7.5,618.0
5.4,648.9
6.9,1580.3
6.0,593.0
6.8,1745.0
6.0,574.5
9.3,584.6
4.6,133373.4
7.1,6643.0
20.0,6783.9
11.1,5548.9
11.7,4677.9
8.2,4079.2
7.8,5885.9
7.4,681.3
18.9,720.9
13.2,619.2
17.5,4312.6
13.1,4986.6
8.0,5276.7
37.0,6957.0
40.2,4841.1
41.1,3681155.8
36.8,2927.6
40.8,5924.0
35.8,5388.7
40.3,3626128.5
35.5,5568.6
26.2,19106.1
29.7,4250392.0
17.6,17132.0
34.4,2941.0
15.2,2128.9
5.0,12376.0
4.0,4878.0
3.6,3842.0
3.9,4308.0
4.1,4381.0
4.5,5601.0
4.6,3422.0
5.1,3949.0
5.1,4199.0
3.8,4099.0
4.1,4062.0
4.0,4200.0
4.3,3860.0
4.8,3571.0
5.8,2864.0
5.2,2591.0
6.3,3145.0
5.8,3389.0
7.5,3407.0
6.0,3387.0
6.4,2207.0
32.4,1025.1
18.1,2919.0
17.9,4376.8
12.9,4412.3
11.8,3422.2
53.6,1365.0
52.9,2950.0
47.5,1390.8
47.7,3954.6
44.2,10618.3
35.5,29642.3
33.1,11369.6
0.5,193.1
16.5,1128.0
7.0,2598.4
39.2,4687.0
37.5,449.0
44.7,1667.3
39.3,2113.6
33.4,1893.3
34.6,3141.7
45.3,45270.4
39.6,5281.3
39.0,6376.5
32.1,3576.9
30.1,5918.9
29.8,2813.9
21.1,4562.1
21.0,10723.0
38.1,9876.0
4.1,69145.0
60.5,4292.0
54.1,3131.0
55.2,5049.0
55.0,3108.8
52.7,5603.2
49.4,5830.1
48.9,10794.1
41.6,12437.0
39.8,6317.4
55.4,3318.7
53.8,3654.0
62.3,833457.6
54.7,10255.2
58.3,1622292.0
52.5,8804.6
53.1,21425.3
47.3,4970.4
42.4,18269.0
